name,series,family,mode,compiler,precision,precision_group,core,variant,lmul,mc,nc,nr,ku,kc,threads,x100_threads,a100_threads,a100_share,matrix_order,iterations,tile_size,status,mflops,avg_time_s,elapsed_s,instructions,l1_loads,l1_load_misses,command,file
gemm_hetero_rvv_ime_2_clang_fp16_x8_a8_share90_n2000,baseline,hetero,rvv_ime,clang,fp16,fp16,,rvv_ime_m2,2,,,,,,,8,8,90,2000,10,8,valid,10213.354981,1.566576,17.364671016,25175527484,19588270565,13324224697,env OMP_DYNAMIC=false X100_THREADS=8 A100_THREADS=8 A100_SHARE=90 A100_BIND=thread X100_CPUS=0-7 ./build/hetero/clang/fp16/gemm_hetero_rvv_ime_2 10 2000 8,results/gemm_hetero_rvv_ime_2_clang_fp16_x8_a8_share90_n2000.txt
gemm_hetero_rvv_ime_2_clang_fp16_x8_a8_share100_n2000,baseline,hetero,rvv_ime,clang,fp16,fp16,,rvv_ime_m2,2,,,,,,,8,8,100,2000,10,8,valid,9247.516398,1.730194,19.187796449,12704839603,14831585469,13586573776,env OMP_DYNAMIC=false X100_THREADS=8 A100_THREADS=8 A100_SHARE=100 A100_BIND=thread X100_CPUS=0-7 ./build/hetero/clang/fp16/gemm_hetero_rvv_ime_2 10 2000 8,results/gemm_hetero_rvv_ime_2_clang_fp16_x8_a8_share100_n2000.txt
gemm_hetero_rvv_ime_4_clang_fp16_x8_a8_share0_n2000,baseline,hetero,rvv_ime,clang,fp16,fp16,,rvv_ime_m4,4,,,,,,,8,8,0,2000,10,8,valid,12408.804147,1.289407,14.193779038,45024435132,38407060077,2147601329,env OMP_DYNAMIC=false X100_THREADS=8 A100_THREADS=8 A100_SHARE=0 A100_BIND=thread X100_CPUS=0-7 ./build/hetero/clang/fp16/gemm_hetero_rvv_ime_4 10 2000 8,results/gemm_hetero_rvv_ime_4_clang_fp16_x8_a8_share0_n2000.txt
gemm_hetero_rvv_ime_4_clang_fp16_x8_a8_share10_n2000,baseline,hetero,rvv_ime,clang,fp16,fp16,,rvv_ime_m4,4,,,,,,,8,8,10,2000,10,8,valid,12176.957725,1.313957,14.466183519,46154343409,40946485766,3502780842,env OMP_DYNAMIC=false X100_THREADS=8 A100_THREADS=8 A100_SHARE=10 A100_BIND=thread X100_CPUS=0-7 ./build/hetero/clang/fp16/gemm_hetero_rvv_ime_4 10 2000 8,results/gemm_hetero_rvv_ime_4_clang_fp16_x8_a8_share10_n2000.txt
gemm_hetero_rvv_ime_4_clang_fp16_x8_a8_share20_n2000,baseline,hetero,rvv_ime,clang,fp16,fp16,,rvv_ime_m4,4,,,,,,,8,8,20,2000,10,8,valid,14065.169933,1.137562,12.599879472,41995298296,33435138370,4596876852,env OMP_DYNAMIC=false X100_THREADS=8 A100_THREADS=8 A100_SHARE=20 A100_BIND=thread X100_CPUS=0-7 ./build/hetero/clang/fp16/gemm_hetero_rvv_ime_4 10 2000 8,results/gemm_hetero_rvv_ime_4_clang_fp16_x8_a8_share20_n2000.txt
gemm_hetero_rvv_ime_4_clang_fp16_x8_a8_share30_n2000,baseline,hetero,rvv_ime,clang,fp16,fp16,,rvv_ime_m4,4,,,,,,,8,8,30,2000,10,8,valid,14334.619733,1.116179,12.431105994,38340431707,34209377270,6286005141,env OMP_DYNAMIC=false X100_THREADS=8 A100_THREADS=8 A100_SHARE=30 A100_BIND=thread X100_CPUS=0-7 ./build/hetero/clang/fp16/gemm_hetero_rvv_ime_4 10 2000 8,results/gemm_hetero_rvv_ime_4_clang_fp16_x8_a8_share30_n2000.txt
gemm_hetero_rvv_ime_4_clang_fp16_x8_a8_share40_n2000,baseline,hetero,rvv_ime,clang,fp16,fp16,,rvv_ime_m4,4,,,,,,,8,8,40,2000,10,8,valid,16718.705546,0.957012,10.644289750,34483795582,30130034358,7418015472,env OMP_DYNAMIC=false X100_THREADS=8 A100_THREADS=8 A100_SHARE=40 A100_BIND=thread X100_CPUS=0-7 ./build/hetero/clang/fp16/gemm_hetero_rvv_ime_4 10 2000 8,results/gemm_hetero_rvv_ime_4_clang_fp16_x8_a8_share40_n2000.txt
gemm_hetero_rvv_ime_4_clang_fp16_x8_a8_share50_n2000,baseline,hetero,rvv_ime,clang,fp16,fp16,,rvv_ime_m4,4,,,,,,,8,8,50,2000,10,8,valid,18408.934226,0.869143,9.738784917,30486075773,27442038234,8542360145,env OMP_DYNAMIC=false X100_THREADS=8 A100_THREADS=8 A100_SHARE=50 A100_BIND=thread X100_CPUS=0-7 ./build/hetero/clang/fp16/gemm_hetero_rvv_ime_4 10 2000 8,results/gemm_hetero_rvv_ime_4_clang_fp16_x8_a8_share50_n2000.txt
gemm_hetero_rvv_ime_4_clang_fp16_x8_a8_share60_n2000,baseline,hetero,rvv_ime,clang,fp16,fp16,,rvv_ime_m4,4,,,,,,,8,8,60,2000,10,8,valid,15558.339149,1.028387,11.502508284,31485380090,27122973540,9712898404,env OMP_DYNAMIC=false X100_THREADS=8 A100_THREADS=8 A100_SHARE=60 A100_BIND=thread X100_CPUS=0-7 ./build/hetero/clang/fp16/gemm_hetero_rvv_ime_4 10 2000 8,results/gemm_hetero_rvv_ime_4_clang_fp16_x8_a8_share60_n2000.txt
gemm_hetero_rvv_ime_4_clang_fp16_x8_a8_share70_n2000,baseline,hetero,rvv_ime,clang,fp16,fp16,,rvv_ime_m4,4,,,,,,,8,8,70,2000,10,8,valid,13477.279785,1.187183,13.397712882,27588162525,25581574070,9999291180,env OMP_DYNAMIC=false X100_THREADS=8 A100_THREADS=8 A100_SHARE=70 A100_BIND=thread X100_CPUS=0-7 ./build/hetero/clang/fp16/gemm_hetero_rvv_ime_4 10 2000 8,results/gemm_hetero_rvv_ime_4_clang_fp16_x8_a8_share70_n2000.txt
